winner,looser,height_1,weight_1,reach_1,stance_1,dob_1,slpm_1,stracc_1,sapm_1,strdef_1,tdavg_1,tdacc_1,tddef_1,subavg_1,height_2,weight_2,reach_2,stance_2,dob_2,slpm_2,stracc_2,sapm_2,strdef_2,tdavg_2,tdacc_2,tddef_2,subavg_2,fight_date,cur_streak_1,max_streak_1,cur_streak_2,max_streak_2,outcome
Merab Dvalishvili,Cory Sandhagen,"5' 6""",135 lbs.,"68""",Orthodox,"Jan 10, 1991",4.33,42%,2.55,56%,6.4,37%,82%,0.3,"5' 11""",135 lbs.,"70""",Switch,"Apr 20, 1992",4.86,45%,3.47,56%,1.15,34%,56%,0.2,2025.0,13.0,13.0,1.0,5.0,1.0
Khalil Rountree Jr.,Jiri Prochazka,"6' 1""",205 lbs.,"76""",Southpaw,"Feb 26, 1990",3.88,40%,4.33,49%,0.0,0%,58%,0.1,"6' 3""",205 lbs.,"80""",Orthodox,"Oct 14, 1992",5.69,55%,5.6,45%,0.51,60%,68%,0.2,2025.0,1.0,5.0,1.0,3.0,0.0
Josh Emmett,Youssef Zalal,"5' 6""",145 lbs.,"70""",Orthodox,"Mar 04, 1985",3.72,35%,4.43,60%,1.08,37%,43%,0.1,"5' 10""",145 lbs.,"72""",Switch,"Sep 04, 1996",3.03,50%,1.78,66%,2.17,31%,59%,1.4,2025.0,0.0,5.0,4.0,4.0,0.0
Joe Pyfer,Abus Magomedov,"6' 2""",185 lbs.,"75""",Orthodox,"Sep 17, 1996",3.47,43%,3.05,53%,1.23,33%,50%,1.0,"6' 2""",185 lbs.,"78""",Orthodox,"Sep 02, 1990",3.07,49%,3.43,55%,2.61,59%,100%,0.4,2025.0,2.0,4.0,3.0,3.0,1.0
Tre'ston Vines,Ateba Gautier,"6' 1""",185 lbs.,"79""",Orthodox,"Jun 18, 1996",0.0,0%,3.56,50%,0.0,0%,0%,0.0,"6' 4""",185 lbs.,"81""",Switch,"Apr 10, 2002",6.57,60%,1.95,53%,0.98,100%,92%,0.0,2025.0,0.0,0.0,3.0,3.0,0.0
JooSang Yoo,Daniel Santos,"5' 7""",145 lbs.,"71""",Orthodox,"Jan 21, 1994",6.36,58%,4.99,56%,0.0,0%,50%,0.0,"5' 7""",145 lbs.,"67""",Orthodox,"Mar 12, 1995",4.76,40%,5.03,51%,3.01,40%,73%,0.0,2025.0,1.0,1.0,3.0,3.0,0.0
Jakub Wiklacz,Patchy Mix,"5' 10""",135 lbs.,"72""",Orthodox,"Sep 10, 1996",3.07,55%,2.47,36%,0.0,0%,28%,3.0,"5' 11""",135 lbs.,"70""",Southpaw,"Aug 16, 1993",5.3,43%,7.3,43%,2.5,62%,0%,0.0,2025.0,0.0,0.0,0.0,0.0,1.0
Edmen Shahbazyan,Andre Muniz,"6' 2""",185 lbs.,"75""",Orthodox,"Nov 20, 1997",3.8,48%,3.6,49%,1.62,37%,66%,0.4,"6' 1""",185 lbs.,"78""",Southpaw,"Feb 17, 1990",2.08,48%,2.46,51%,3.98,48%,35%,1.1,2025.0,2.0,5.0,0.0,7.0,1.0
Punahele Soriano,Nikolay Veretennikov,"5' 11""",170 lbs.,"72""",Southpaw,"Nov 22, 1992",4.66,54%,3.42,47%,1.83,48%,40%,0.1,"6' 1""",170 lbs.,"74""",Orthodox,"Dec 22, 1989",2.49,56%,3.25,44%,0.43,16%,62%,0.4,2025.0,2.0,3.0,1.0,1.0,1.0
Macy Chiasson,Yana Santos,"5' 11""",135 lbs.,"72""",Orthodox,"Jul 27, 1991",3.5,46%,2.86,45%,2.07,37%,72%,0.4,"5' 6""",135 lbs.,"68""",Orthodox,"Nov 11, 1989",4.41,57%,3.12,52%,0.78,47%,51%,0.1,2025.0,0.0,3.0,2.0,2.0,0.0
Chris Gutierrez,Farid Basharat,"5' 9""",135 lbs.,"67""",Orthodox,"Apr 22, 1991",4.4,57%,2.65,63%,0.3,30%,67%,0.1,"5' 8""",135 lbs.,"71""",Orthodox,"Aug 02, 1997",4.05,52%,2.47,60%,3.6,47%,72%,0.4,2025.0,2.0,4.0,5.0,5.0,0.0
Ramiz Brahimaj,Austin Vanderford,"5' 10""",170 lbs.,"72""",Orthodox,"Nov 17, 1992",2.23,46%,3.42,44%,1.74,38%,48%,2.0,"5' 11""",170 lbs.,"74""",Orthodox,"Mar 21, 1990",3.04,59%,2.71,48%,3.08,35%,100%,1.2,2025.0,2.0,2.0,2.0,2.0,1.0
Brogan Walker,Veronica Hardy,"5' 4""",125 lbs.,"67""",Switch,"Aug 02, 1988",1.84,32%,3.32,47%,1.02,75%,11%,0.0,"5' 4""",125 lbs.,"64""",Southpaw,"Oct 30, 1995",3.06,45%,3.24,50%,0.82,41%,51%,0.3,2025.0,0.0,0.0,0.0,3.0,0.0
Carlos Ulberg,Dominick Reyes,"6' 4""",205 lbs.,"77""",Orthodox,"Nov 07, 1990",6.54,55%,4.04,51%,0.55,60%,85%,0.2,"6' 4""",205 lbs.,"77""",Southpaw,"Dec 26, 1989",5.39,54%,3.49,49%,0.29,28%,82%,0.3,2025.0,8.0,8.0,3.0,6.0,1.0
Ivan Erslan,Jimmy Crute,"6' 2""",205 lbs.,"72""",Orthodox,"Nov 15, 1991",2.55,46%,5.01,53%,0.45,20%,61%,0.0,"6' 2""",205 lbs.,"74""",Orthodox,"Mar 04, 1996",4.15,52%,3.65,42%,4.39,52%,58%,2.0,2025.0,0.0,0.0,1.0,3.0,0.0
Ramon Taveras,Jack Jenkins,"5' 8""",145 lbs.,"70""",Southpaw,"Jan 09, 1994",4.07,43%,6.45,54%,0.0,0%,72%,0.0,"5' 7""",145 lbs.,"68""",Switch,"Nov 03, 1993",4.48,61%,2.95,59%,1.98,60%,71%,0.2,2025.0,0.0,2.0,0.0,3.0,0.0
Neil Magny,Jake Matthews,"6' 3""",170 lbs.,"80""",Orthodox,"Aug 03, 1987",3.41,46%,2.44,51%,2.18,39%,55%,0.3,"5' 11""",170 lbs.,"73""",Orthodox,"Aug 19, 1994",3.34,43%,2.62,60%,1.44,41%,64%,0.8,2025.0,1.0,7.0,3.0,3.0,1.0
Tom Nolan,Charlie Campbell,"6' 3""",155 lbs.,"73""",Southpaw,"Mar 08, 2000",5.87,45%,4.73,48%,0.74,22%,71%,1.9,"6' 0""",155 lbs.,"72""",Orthodox,"Jul 03, 1995",5.23,51%,4.17,55%,2.45,36%,62%,0.0,2025.0,3.0,3.0,2.0,2.0,1.0
Rodolfo Bellato,Navajo Stirling,"6' 3""",205 lbs.,"75""",Orthodox,"Feb 05, 1996",5.13,59%,5.86,46%,1.44,35%,94%,0.2,"6' 4""",205 lbs.,"79""",Orthodox,"Nov 07, 1997",6.13,52%,2.6,58%,1.15,28%,75%,0.0,2025.0,0.0,2.0,3.0,3.0,0.0
Cam Rowston,Andre Petroski,"6' 3""",185 lbs.,"78""",Orthodox,"Jan 19, 1995",3.39,45%,2.37,49%,0.73,50%,28%,0.7,"6' 0""",185 lbs.,"73""",Switch,"Jun 12, 1991",2.81,49%,2.79,53%,3.15,51%,86%,1.3,2025.0,1.0,1.0,0.0,5.0,1.0
Rolando Bedoya,Jamie Mullarkey,"5' 11""",155 lbs.,"74""",Orthodox,"Jan 13, 1997",6.23,47%,5.5,52%,0.0,0%,75%,0.2,"6' 0""",155 lbs.,"74""",Orthodox,"Aug 17, 1994",4.2,46%,4.34,54%,2.4,29%,78%,0.1,2025.0,0.0,0.0,0.0,2.0,0.0
Colby Thicknesse,Josias Musasa,"5' 7""",135 lbs.,"69""",Orthodox,"Jun 23, 1999",3.33,42%,2.8,50%,1.0,9%,50%,0.5,"5' 8""",135 lbs.,"74""",Southpaw,"Oct 10, 1998",3.19,45%,4.39,36%,0.9,50%,81%,0.5,2025.0,0.0,0.0,0.0,1.0,1.0
Michelle Montague,Luana Carolina,"5' 9""",135 lbs.,"68""",Southpaw,"Nov 25, 1993",2.73,46%,3.2,41%,5.0,71%,0%,0.0,"5' 6""",135 lbs.,"69""",Orthodox,"Jun 11, 1993",4.65,51%,3.46,51%,0.3,37%,68%,0.6,2025.0,0.0,0.0,3.0,3.0,1.0
Elisha Ellison,Brando Pericic,"6' 0""",238 lbs.,"78""",Orthodox,"Mar 05, 1997",1.57,33%,15.13,40%,0.0,0%,0%,0.0,"6' 5""",245 lbs.,"79""",Orthodox,"Aug 03, 1994",15.13,59%,1.57,66%,0.0,0%,100%,0.0,2025.0,0.0,0.0,0.0,0.0,0.0
Loma Lookboonmee,Alexia Thainara,"5' 1""",115 lbs.,"61""",Orthodox,"Jan 18, 1996",3.67,55%,2.52,53%,1.81,50%,68%,0.1,"5' 4""",115 lbs.,"67""",Orthodox,"Nov 20, 1995",4.52,40%,2.46,65%,3.91,60%,100%,1.7,2025.0,4.0,4.0,2.0,2.0,0.0
Diego Lopes,Jean Silva,"5' 11""",145 lbs.,"72""",Orthodox,"Dec 30, 1994",4.1,48%,4.72,47%,0.79,55%,67%,1.7,"5' 7""",145 lbs.,"69""",Orthodox,"Dec 27, 1996",4.79,51%,4.69,54%,0.5,50%,78%,0.8,2025.0,0.0,5.0,6.0,6.0,1.0
David Martinez,Rob Font,"5' 5""",135 lbs.,"67""",Orthodox,"Aug 03, 1998",4.85,47%,2.95,68%,0.0,0%,100%,0.0,"5' 8""",135 lbs.,"71""",Orthodox,"Jun 25, 1987",5.36,45%,3.7,57%,0.74,30%,43%,0.3,2025.0,2.0,2.0,2.0,4.0,1.0
Rafa Garcia,Jared Gordon,"5' 7""",155 lbs.,"70""",Orthodox,"Aug 05, 1994",4.31,45%,4.54,61%,3.13,44%,76%,0.5,"5' 9""",155 lbs.,"68""",Orthodox,"Sep 06, 1988",5.64,53%,4.14,55%,1.78,32%,60%,0.0,2025.0,1.0,2.0,1.0,3.0,1.0
Kelvin Gastelum,Dustin Stoltzfus,"5' 9""",185 lbs.,"71""",Southpaw,"Oct 24, 1991",3.67,42%,3.53,57%,1.01,34%,60%,0.1,"6' 0""",185 lbs.,"75""",Orthodox,"Nov 15, 1991",3.3,45%,3.23,47%,2.08,37%,46%,1.1,2025.0,0.0,5.0,0.0,1.0,1.0
Alexander Hernandez,Diego Ferreira,"5' 9""",155 lbs.,"72""",Orthodox,"Oct 01, 1992",4.31,40%,4.5,59%,1.14,36%,73%,0.1,"5' 9""",155 lbs.,"74""",Orthodox,"Jan 18, 1985",4.7,39%,3.46,55%,0.82,30%,57%,0.6,2025.0,3.0,3.0,0.0,6.0,1.0
Quang Le,Santiago Luna,"5' 7""",135 lbs.,"70""",Orthodox,"Oct 18, 1991",2.82,38%,4.59,49%,2.9,33%,100%,0.4,"5' 9""",135 lbs.,"74""",Orthodox,"Aug 06, 2004",5.36,37%,4.29,50%,0.0,0%,100%,0.0,2025.0,1.0,1.0,0.0,0.0,0.0
Dusko Todorovic,Jose Daniel Medina,"6' 1""",185 lbs.,"74""",Orthodox,"May 19, 1994",4.73,57%,4.4,48%,1.77,21%,42%,0.3,"6' 0""",185 lbs.,"74""",Orthodox,"May 17, 1991",2.16,36%,5.07,46%,0.4,33%,27%,0.0,2025.0,0.0,2.0,0.0,0.0,1.0
Claudio Puelles,Joaquim Silva,"5' 10""",155 lbs.,"72""",Southpaw,"Apr 21, 1996",1.54,46%,2.62,48%,3.29,33%,60%,1.0,"5' 8""",155 lbs.,"69""",Southpaw,"Feb 05, 1989",3.43,43%,4.17,53%,0.34,50%,70%,0.8,2025.0,0.0,5.0,0.0,3.0,0.0
Amanda Lemos,Tatiana Suarez,"5' 4""",115 lbs.,"65""",Southpaw,"May 22, 1987",2.75,55%,3.24,45%,1.02,62%,64%,0.7,"5' 5""",115 lbs.,"66""",Southpaw,"Dec 19, 1990",2.95,60%,1.58,45%,4.41,43%,80%,0.6,2025.0,1.0,5.0,0.0,7.0,0.0
Luis Gurule,Jesus Aguilar,"5' 5""",125 lbs.,"64""",Orthodox,"Nov 16, 1993",4.93,42%,4.53,61%,0.41,9%,56%,0.0,"5' 4""",125 lbs.,"62""",Orthodox,"Mar 13, 1996",2.65,40%,1.85,62%,1.64,31%,48%,1.4,2025.0,0.0,1.0,0.0,3.0,0.0
Zach Reese,Sedriques Dumas,"6' 4""",185 lbs.,"77""",Switch,"Mar 24, 1994",4.32,56%,3.82,39%,3.41,66%,57%,1.4,"6' 2""",185 lbs.,"79""",Orthodox,"Aug 06, 1995",2.0,44%,2.41,55%,1.34,31%,33%,0.2,2025.0,0.0,2.0,0.0,2.0,1.0
Alden Coria,Alessandro Costa,"5' 8""",125 lbs.,"67""",Orthodox,"Apr 24, 1998",3.89,44%,1.11,78%,2.78,100%,75%,0.0,"5' 4""",125 lbs.,"67""",Orthodox,"Jan 28, 1996",3.64,44%,3.57,57%,0.46,16%,83%,0.5,2025.0,0.0,0.0,1.0,1.0,1.0
Alice Pereira,Montse Rendon,"5' 8""",135 lbs.,"71""",Orthodox,"Dec 20, 2005",2.47,31%,3.0,72%,0.0,0%,100%,0.0,"5' 8""",135 lbs.,"68""",Orthodox,"Mar 16, 1989",3.09,28%,3.42,59%,2.0,37%,100%,0.3,2025.0,0.0,0.0,0.0,1.0,0.0
Rodrigo Sezinando,Daniil Donchenko,"5' 9""",170 lbs.,"71""",Orthodox,"Dec 11, 1997",2.25,27%,8.76,42%,3.37,25%,66%,0.0,"5' 11""",170 lbs.,"71""",Orthodox,"Aug 04, 2001",8.76,57%,2.25,72%,3.37,33%,75%,0.0,2025.0,0.0,0.0,0.0,0.0,0.0
Caio Borralho,Nassourdine Imavov,"6' 1""",185 lbs.,"75""",Southpaw,"Jan 16, 1993",3.44,56%,2.5,60%,1.28,48%,76%,0.4,"6' 3""",185 lbs.,"75""",Orthodox,"Mar 01, 1996",4.28,54%,3.17,58%,0.74,32%,81%,1.0,2025.0,9.0,9.0,4.0,4.0,0.0
Mauricio Ruffy,Benoit Saint Denis,"5' 11""",155 lbs.,"75""",Orthodox,"Jun 17, 1996",3.84,57%,4.16,60%,0.0,0%,84%,0.0,"5' 11""",155 lbs.,"73""",Southpaw,"Dec 18, 1995",5.07,55%,4.21,42%,4.33,37%,70%,1.6,2025.0,4.0,4.0,2.0,5.0,0.0
Modestas Bukauskas,Paul Craig,"6' 3""",205 lbs.,"76""",Switch,"Feb 10, 1994",3.32,43%,3.93,51%,0.3,66%,80%,0.1,"6' 3""",205 lbs.,"76""",Orthodox,"Nov 27, 1987",2.5,45%,3.04,43%,1.43,18%,35%,1.3,2025.0,3.0,3.0,0.0,4.0,1.0
Mason Jones,Bolaji Oki,"5' 10""",155 lbs.,"74""",Orthodox,"Apr 26, 1995",5.71,41%,4.47,50%,4.17,55%,81%,0.2,"5' 10""",155 lbs.,"73""",Orthodox,"Nov 15, 1995",6.59,44%,5.15,61%,1.01,60%,66%,0.0,2025.0,1.0,1.0,1.0,2.0,1.0
Axel Sola,Rhys McKee,"6' 2""",170 lbs.,"74""",Southpaw,"Sep 17, 1997",3.74,42%,2.74,75%,1.25,25%,0%,0.0,"6' 2""",170 lbs.,"78""",Orthodox,"Sep 10, 1995",4.71,40%,7.15,47%,0.0,0%,47%,0.0,2025.0,0.0,0.0,1.0,1.0,1.0
William Gomis,Robert Ruchala,"6' 0""",145 lbs.,"73""",Southpaw,"Jun 13, 1997",3.48,49%,2.76,61%,0.86,38%,72%,0.3,"5' 8""",145 lbs.,"72""",Switch,"May 15, 1998",2.27,35%,3.27,57%,2.0,33%,0%,0.0,2025.0,0.0,4.0,0.0,0.0,1.0
Oumar Sy,Brendson Ribeiro,"6' 4""",205 lbs.,"83""",Orthodox,"Nov 21, 1995",3.67,48%,1.72,70%,2.73,36%,100%,0.4,"6' 3""",205 lbs.,"81""",Orthodox,"Sep 08, 1996",3.06,42%,4.0,53%,0.9,42%,18%,0.6,2025.0,0.0,2.0,0.0,2.0,1.0
Ante Delija,Marcin Tybura,"6' 3""",239 lbs.,"78""",Orthodox,"Aug 07, 1990",4.81,45%,2.65,38%,0.0,0%,0%,0.0,"6' 3""",246 lbs.,"78""",Orthodox,"Nov 09, 1985",3.59,48%,3.33,55%,1.38,33%,75%,0.1,2025.0,1.0,1.0,2.0,5.0,1.0
Harry Hardwick,Kaue Fernandes,"5' 8""",155 lbs.,"71""",Switch,"Sep 29, 1994",2.39,34%,7.16,40%,0.0,0%,0%,0.0,"5' 9""",155 lbs.,"73""",Orthodox,"Mar 17, 1995",4.28,55%,1.42,62%,1.18,100%,76%,0.0,2025.0,0.0,0.0,2.0,2.0,0.0
Trey Waters,Sam Patterson,"6' 5""",170 lbs.,"77""",Orthodox,"Feb 21, 1995",6.39,44%,5.83,55%,0.4,33%,85%,0.8,"6' 3""",170 lbs.,"78""",Orthodox,"Apr 30, 1996",3.89,43%,3.93,49%,1.39,100%,33%,2.8,2025.0,2.0,2.0,3.0,3.0,0.0
Brad Tavares,Robert Bryczek,"6' 1""",185 lbs.,"74""",Orthodox,"Dec 21, 1987",3.42,43%,3.36,54%,0.73,26%,81%,0.0,"6' 0""",185 lbs.,"75""",Orthodox,"Jul 04, 1990",3.74,36%,4.08,59%,0.56,100%,85%,0.0,2025.0,1.0,5.0,0.0,0.0,0.0
Rinat Fakhretdinov,Andreas Gustafsson,"6' 0""",170 lbs.,"74""",Orthodox,"Sep 28, 1991",5.03,52%,3.61,54%,3.91,34%,91%,0.2,"6' 1""",170 lbs.,"73""",Orthodox,"Feb 20, 1991",5.82,71%,3.63,45%,6.19,58%,100%,0.0,2025.0,2.0,3.0,2.0,2.0,1.0
Sam Hughes,Shauna Bannon,"5' 5""",115 lbs.,"64""",Orthodox,"Jun 28, 1992",4.34,46%,4.44,58%,1.23,35%,60%,0.2,"5' 5""",115 lbs.,"65""",Switch,"Oct 23, 1993",4.32,43%,3.75,45%,0.0,0%,40%,0.7,2025.0,2.0,2.0,2.0,2.0,1.0
Johnny Walker,Zhang Mingyang,"6' 6""",205 lbs.,"82""",Orthodox,"Mar 30, 1992",4.06,55%,3.09,45%,0.42,60%,57%,0.8,"6' 2""",205 lbs.,"75""",Orthodox,"Aug 16, 1998",7.71,60%,5.33,43%,0.0,0%,75%,0.0,2025.0,0.0,4.0,4.0,4.0,1.0
Aljamain Sterling,Brian Ortega,"5' 7""",145 lbs.,"71""",Orthodox,"Jul 31, 1989",4.45,52%,2.21,59%,2.45,30%,44%,0.6,"5' 8""",145 lbs.,"69""",Switch,"Feb 21, 1991",3.84,37%,6.38,49%,0.93,25%,54%,0.9,2025.0,0.0,9.0,0.0,6.0,1.0
Sergei Pavlovich,Waldo Cortes Acosta,"6' 3""",257 lbs.,"84""",Southpaw,"May 13, 1992",4.43,44%,3.62,55%,0.48,25%,75%,0.0,"6' 4""",260 lbs.,"78""",Orthodox,"Oct 03, 1991",5.53,48%,3.52,55%,0.36,50%,72%,0.1,2025.0,1.0,6.0,0.0,5.0,1.0
Sumudaerji,Kevin Borjas,"5' 8""",125 lbs.,"72""",Southpaw,"Jan 20, 1996",4.48,52%,2.39,60%,0.16,11%,71%,0.6,"5' 5""",125 lbs.,"68""",Orthodox,"Dec 06, 1997",4.19,44%,5.74,49%,0.0,0%,71%,0.0,2025.0,1.0,3.0,1.0,1.0,1.0
Kiefer Crosbie,Taiyilake Nueraji,"5' 11""",170 lbs.,"70""",Switch,"Apr 05, 1990",4.46,64%,5.8,46%,0.0,0%,40%,0.0,"6' 2""",170 lbs.,"75""",Southpaw,"Jan 12, 2001",9.82,53%,5.01,58%,1.47,33%,100%,0.0,2025.0,0.0,0.0,1.0,1.0,0.0
Gauge Young,Maheshate,"5' 9""",155 lbs.,"70""",Orthodox,"Jul 14, 2000",5.71,51%,5.82,48%,1.0,30%,71%,0.0,"6' 0""",155 lbs.,"71""",Orthodox,"Dec 01, 1999",3.96,31%,5.96,51%,0.0,0%,47%,0.0,2025.0,0.0,0.0,0.0,2.0,1.0
Lone'er Kavanagh,Charles Johnson,"5' 6""",125 lbs.,"67""",Orthodox,"Jun 09, 1999",4.29,49%,3.69,58%,1.79,50%,88%,0.4,"5' 9""",125 lbs.,"70""",Switch,"Jan 10, 1991",4.73,49%,3.78,56%,0.56,20%,66%,0.4,2025.0,3.0,3.0,0.0,4.0,0.0
Rongzhu,Austin Hubbard,"5' 9""",155 lbs.,"71""",Orthodox,"Mar 07, 2000",6.02,51%,5.44,52%,1.35,62%,84%,0.1,"5' 10""",155 lbs.,"71""",Orthodox,"Dec 22, 1991",3.97,42%,4.1,55%,1.63,28%,68%,0.1,2025.0,1.0,3.0,0.0,1.0,1.0
Kyle Daukaus,Michel Pereira,"6' 2""",185 lbs.,"76""",Southpaw,"Feb 27, 1993",3.32,53%,2.9,42%,2.08,25%,82%,2.1,"6' 1""",185 lbs.,"73""",Orthodox,"Oct 06, 1993",4.49,52%,4.35,51%,1.13,52%,76%,0.7,2025.0,1.0,1.0,0.0,8.0,1.0
Yizha,Westin Wilson,"5' 7""",145 lbs.,"71""",Orthodox,"Jan 08, 1997",2.97,45%,2.81,47%,3.51,30%,54%,1.1,"6' 1""",145 lbs.,"73""",Southpaw,"Jan 24, 1989",1.57,31%,6.71,30%,1.57,16%,33%,7.9,2025.0,0.0,3.0,1.0,1.0,1.0
SuYoung You,Xiao Long,"5' 6""",135 lbs.,"65""",Orthodox,"Dec 11, 1995",2.28,46%,1.96,70%,3.8,47%,66%,0.4,"5' 8""",135 lbs.,"70""",Orthodox,"Apr 13, 1998",5.25,46%,4.2,50%,0.69,25%,79%,0.0,2025.0,4.0,4.0,1.0,2.0,1.0
Uran Satybaldiev,Diyar Nurgozhay,"6' 4""",205 lbs.,"79""",Orthodox,"Aug 10, 1994",2.14,25%,3.66,44%,0.0,0%,50%,1.7,"6' 2""",205 lbs.,"74""",Southpaw,"Apr 22, 1997",3.04,50%,2.99,61%,2.54,100%,100%,0.0,2025.0,0.0,0.0,0.0,1.0,1.0
Dricus Du Plessis,Khamzat Chimaev,"6' 1""",185 lbs.,"76""",Switch,"Jan 14, 1994",5.18,48%,4.33,52%,2.22,51%,34%,0.7,"6' 2""",185 lbs.,"75""",Orthodox,"May 01, 1994",4.04,60%,2.32,43%,5.29,55%,85%,1.8,2025.0,9.0,9.0,8.0,8.0,0.0
Lerone Murphy,Aaron Pico,"5' 9""",145 lbs.,"73""",Orthodox,"Jul 22, 1991",4.48,53%,2.51,61%,1.41,54%,51%,0.5,"5' 8""",145 lbs.,"70""",Orthodox,"Sep 23, 1996",3.88,44%,2.39,50%,8.96,66%,0%,0.0,2025.0,8.0,8.0,0.0,0.0,1.0
Geoff Neal,Carlos Prates,"5' 11""",170 lbs.,"75""",Southpaw,"Aug 28, 1990",5.05,51%,5.48,57%,0.54,45%,87%,0.1,"6' 1""",170 lbs.,"78""",Switch,"Aug 17, 1993",3.77,55%,4.53,47%,0.21,100%,80%,0.0,2025.0,1.0,6.0,1.0,5.0,0.0
Michael Page,Jared Cannonier,"6' 3""",185 lbs.,"79""",Switch,"Apr 07, 1987",2.39,60%,1.68,57%,0.23,16%,66%,0.0,"5' 11""",185 lbs.,"77""",Switch,"Mar 16, 1984",4.42,49%,4.35,56%,0.54,40%,64%,0.0,2025.0,1.0,1.0,1.0,3.0,1.0
Kai Asakura,Tim Elliott,"5' 8""",125 lbs.,"69""",Orthodox,"Oct 31, 1993",2.27,32%,3.53,52%,0.0,0%,50%,0.0,"5' 7""",125 lbs.,"66""",Southpaw,"Dec 24, 1986",3.37,44%,2.65,57%,3.71,47%,59%,1.1,2025.0,0.0,0.0,1.0,2.0,0.0
Eric Nolan,Baisangur Susurkaev,"6' 2""",185 lbs.,"74""",Orthodox,"Sep 13, 1997",3.14,39%,5.13,41%,0.0,0%,71%,0.0,"6' 2""",185 lbs.,"79""",Orthodox,"Jan 08, 2001",4.56,59%,3.78,53%,2.76,28%,100%,0.7,2025.0,0.0,0.0,2.0,2.0,0.0
Michal Oleksiejczuk,Gerald Meerschaert,"6' 0""",185 lbs.,"74""",Southpaw,"Feb 22, 1995",5.34,51%,4.41,59%,1.02,43%,52%,0.0,"6' 1""",185 lbs.,"77""",Southpaw,"Dec 18, 1987",3.01,45%,3.52,53%,1.82,30%,42%,1.4,2025.0,1.0,2.0,0.0,3.0,1.0
Loopy Godinez,Jessica Andrade,"5' 2""",115 lbs.,"61""",Orthodox,"Sep 06, 1993",4.51,49%,4.03,62%,2.96,41%,81%,0.9,"5' 1""",115 lbs.,"62""",Orthodox,"Sep 25, 1991",6.37,48%,5.58,54%,2.1,54%,75%,0.3,2025.0,1.0,4.0,0.0,4.0,1.0
Alexander Hernandez,Chase Hooper,"5' 9""",155 lbs.,"72""",Orthodox,"Oct 01, 1992",4.31,40%,4.5,59%,1.14,36%,73%,0.1,"6' 1""",155 lbs.,"74""",Southpaw,"Sep 13, 1999",4.51,49%,2.98,39%,2.49,33%,55%,2.1,2025.0,3.0,3.0,5.0,5.0,1.0
Edson Barboza,Drakkar Klose,"5' 11""",155 lbs.,"75""",Orthodox,"Jan 21, 1986",4.14,44%,4.6,55%,0.43,50%,73%,0.1,"5' 9""",155 lbs.,"70""",Orthodox,"Mar 09, 1988",4.25,55%,3.65,49%,1.49,26%,69%,0.0,2025.0,0.0,4.0,0.0,4.0,0.0
Karine Silva,Dione Barbosa,"5' 5""",125 lbs.,"67""",Orthodox,"Dec 02, 1993",2.73,38%,2.89,51%,2.37,47%,11%,1.9,"5' 6""",125 lbs.,"66""",Orthodox,"May 08, 1992",2.27,45%,2.45,66%,2.23,42%,50%,1.9,2025.0,0.0,5.0,1.0,2.0,1.0
Alibi Idiris,Joseph Morales,"5' 6""",125 lbs.,"68""",Orthodox,"Oct 22, 1994",3.47,50%,3.6,53%,0.0,0%,60%,0.0,"5' 6""",125 lbs.,"69""",Switch,"Aug 22, 1994",2.0,40%,2.05,57%,1.14,42%,26%,3.0,2025.0,0.0,0.0,1.0,1.0,0.0
Anthony Hernandez,Roman Dolidze,"6' 0""",185 lbs.,"75""",Orthodox,"Oct 18, 1993",4.59,62%,2.53,49%,6.46,48%,68%,1.8,"6' 2""",185 lbs.,"76""",Orthodox,"Jul 15, 1988",3.41,41%,3.72,48%,0.99,39%,26%,0.8,2025.0,7.0,7.0,3.0,4.0,1.0
Steve Erceg,Ode Osbourne,"5' 8""",125 lbs.,"68""",Orthodox,"Jul 27, 1995",4.0,45%,3.79,52%,1.15,27%,62%,0.4,"5' 7""",125 lbs.,"73""",Southpaw,"Jan 09, 1992",3.07,41%,3.43,47%,1.09,30%,66%,0.5,2025.0,0.0,3.0,1.0,2.0,1.0
Iasmin Lucindo,Angela Hill,"5' 3""",115 lbs.,"66""",Orthodox,"Jan 08, 2002",3.22,45%,2.8,62%,2.28,55%,68%,0.1,"5' 3""",115 lbs.,"64""",Orthodox,"Jan 12, 1985",5.37,50%,5.02,60%,0.75,30%,72%,0.1,2025.0,0.0,4.0,0.0,3.0,1.0
Christian Rodriguez,Andre Fili,"5' 7""",145 lbs.,"71""",Orthodox,"Dec 17, 1997",3.85,50%,2.85,56%,1.75,40%,67%,1.1,"5' 11""",145 lbs.,"74""",Orthodox,"Jun 25, 1990",3.87,37%,4.23,51%,2.22,45%,71%,0.2,2025.0,0.0,4.0,0.0,2.0,0.0
Jean Matsumoto,Miles Johns,"5' 6""",135 lbs.,"68""",Orthodox,"Sep 09, 1999",5.43,41%,5.43,48%,2.14,41%,53%,0.6,"5' 7""",135 lbs.,"68""",Orthodox,"Mar 30, 1994",3.36,44%,2.99,65%,1.22,26%,77%,0.0,2025.0,0.0,3.0,0.0,2.0,1.0
